CPU-Time,#Conflicts,#Decision,restartLearningRate,restartEMA,LLR>EMA?,Reset-Decision,reset-Outcome,NoReset-Outcome
0.208858,100,1588,0.062972,0.012594,1,0,,1
0.362189,101,181,0.558011,0.121678,1,0,,
