CPU-Time,ResetConflictCounter,ResetDecisionCounter,LLR,globalEMA,doReset,localEMA,chunkEMA-2,chunkEMA-3,chunkEMA-4,chunkEMA-5,Avg-2,Avg-3,Avg-4,Avg-5,localChunkedEMA-2,globalChunkedEMA-2,localChunkedEMA-3,globalChunkedEMA-3,localChunkedEMA-4,globalChunkedEMA-4,localChunkedEMA-5,globalChunkedEMA-5
0.200051,85,1561,0.054452,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
0.474284,120,223,0.538117,0.010890,0,0.000000,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0
0.621235,6,6,1.000000,0.116336,0,0.107623,0.11633568225496474,0,0,0,0.11491031390134529,0,0,0,0.11633568225496474,0.11633568225496474,0.0,0.0,0.0,0.0,0.0,0.0
0.881530,10,8,1.250000,0.293069,0,0.286099,0.28609865470852014,0.29306854580397174,0,0,0.5502183406113537,0.11787709497206704,0,0,0.3791672005124919,0.3791672005124919,0.29306854580397174,0.29306854580397174,0.0,0.0,0.0,0.0
1.122853,9,13,0.692308,0.484455,0,0.478879,0.4099999999999999,0.47887892376681607,0.48445483664317734,0,1.1428571428571428,0.5738396624472574,0.12291434927697442,0,0.7133337604099934,0.7133337604099934,0.7133337604099934,0.7133337604099934,0.48445483664317734,0.48445483664317734,0.0,0.0
1.210969,2,2,1.000000,0.526025,0,0.521565,0.33846153846153837,0.46646153846153837,0.5215646774749914,0.5260254077760803,0.9047619047619048,0.9259259259259259,0.58,0.12700165654334622,0.9091285467895331,0.9091285467895331,1.0371285467895333,1.0371285467895333,0.9091285467895333,0.9091285467895333,0.5260254077760803,0.5260254077760803
1.432251,7,10,0.700000,0.620820,0,0.617252,0.3107692307692307,0.47076923076923066,0.5731692307692307,0.617251741979993,0.7333333333333333,0.9130434782608695,0.9310344827586207,0.5833333333333334,1.0380720682008573,1.0380720682008573,1.3004720682008573,1.3004720682008573,1.3004720682008573,1.3004720682008573,1.0380720682008573,1.0380720682008573
1.626370,7,7,1.000000,0.636656,0,0.633801,0.29999999999999993,0.38861538461538453,0.5166153846153845,0.5985353846153845,0.75,0.72,0.8484848484848485,0.8717948717948718,1.130457654560686,1.130457654560686,1.4289930391760703,1.4289930391760703,1.5569930391760702,1.5569930391760702,1.4289930391760703,1.4289930391760703
1.862370,15,166,0.090361,0.709325,0,0.707041,0.31199999999999994,0.43999999999999995,0.5108923076923075,0.6132923076923076,0.8235294117647058,0.8421052631578947,0.78125,0.875,1.2163661236485486,1.2163661236485486,1.5831944313408564,1.5831944313408564,1.7564867390331638,1.7564867390331638,1.756486739033164,1.756486739033164
2.064116,10,17,0.588235,0.585532,0,0.583705,0.17807228915662648,0.26767228915662644,0.3700722891566265,0.42678613531047255,0.12716763005780346,0.15846994535519127,0.16756756756756758,0.20202020202020202,1.1511651880754654,1.1511651880754654,1.5342278342293114,1.5342278342293114,1.7752616803831578,1.7752616803831578,1.8319755265370037,1.8319755265370037
2.236347,11,19,0.578947,0.586073,0,0.584611,0.1321048901488306,0.2601048901488306,0.33178489014883056,0.4137048901488306,0.1366120218579235,0.16842105263157894,0.195,0.20297029702970298,1.053037040609203,1.053037040609203,1.4874871575322797,1.4874871575322797,1.7519942344553567,1.7519942344553567,1.8792853113784336,1.8792853113784336
2.412951,6,11,0.545455,0.584648,0,0.583478,0.20990712074303403,0.22147338580327497,0.323873385803275,0.38121738580327497,0.5833333333333334,0.1782178217821782,0.20574162679425836,0.228310502283105,1.0523367532303964,1.0523367532303964,1.4114631118290988,1.4114631118290988,1.7254687733675604,1.7254687733675604,1.8846456349060219,1.8846456349060219
2.640581,12,99,0.121212,0.576809,0,0.575874,0.20172248803827747,0.2770166056853363,0.28626961773352905,0.3681896177335291,0.5666666666666667,0.574468085106383,0.19718309859154928,0.22272727272727272,1.0435918906225947,1.0435918906225947,1.4061870951486153,1.4061870951486153,1.6666446364275775,1.6666446364275775,1.8759061256583467,1.8759061256583467
2.830816,26,63,0.412698,0.485690,0,0.484941,0.11151515151515148,0.1856204146730462,0.2458557087906933,0.2532581184292475,0.16363636363636364,0.2248062015503876,0.2671232876712329,0.17307692307692307,0.9463886640132273,0.9463886640132273,1.3105700907919384,1.3105700907919384,1.5791714179327556,1.5791714179327556,1.753983018955925,1.753983018955925
3.003432,12,26,0.461538,0.471091,0,0.470493,0.1019336219336219,0.1717518037518037,0.23103601427811948,0.2792242495722372,0.2345679012345679,0.2543352601156069,0.2864583333333333,0.31100478468899523,0.8590445531442038,0.8590445531442038,1.2202078763853546,1.2202078763853546,1.494373148624324,1.494373148624324,1.6824106647369772,1.6824106647369772
3.225766,14,33,0.424242,0.469181,0,0.468702,0.1583394383394383,0.17385458985458985,0.22970913530913528,0.2771365037301879,0.42696629213483145,0.26595744680851063,0.2814070351758794,0.3073394495412844,0.8455750808548014,0.8455750808548014,1.1500208909628735,1.1500208909628735,1.4252076542085943,1.4252076542085943,1.6230650355197698,1.6230650355197698
